id,Condition,Symptom 1,Symptom 2,Symptom 3,Symptom 4
0,Hyperventilation,Dizziness/light-headed,Breathing difficulty,,
1,Cardiac Arrest,Breathing difficulty,Unconsciousness,Chest pain,
2,Stroke,Loss of arm mobility,Unconsciousness,Slurred speech,
3,Epileptic Seizures,Breathing difficulty,,,
4,Epileptic Seizures,Jerking of limbs,,,
5,Concussion,Unconsciousness,Disorientation,Bruising/swelling on head,Headache
6,Sprains,Bruising of joint,,,
7,Bone Fracture/Dislocation,Visible deformity of bone/joint,Bruising of joint,Swelling of joint,
8,Hyperventilation,Dizziness/light-headed,Palpitation/rapid pulse,,
9,Burn/Scalds,Red/peeling skin,,,
10,Bone Fracture/Dislocation,Swelling of joint,Visible deformity of bone/joint,Bruising of joint,
11,Concussion,Unconsciousness,,,
12,Heatstroke,Excessive sweating,Dizziness/light-headed,Clammy skin,High body temperature
13,Hyperventilation,Disorientation,,,
14,Heatstroke,Dizziness/light-headed,Clammy skin,Excessive sweating,
15,Epileptic Seizures,Breathing difficulty,Jerking of limbs,,
16,Epileptic Seizures,Jerking of limbs,Disorientation,,
17,Sprains,Swelling of joint,Bruising of joint,,
18,Stroke,Unconsciousness,Loss of arm mobility,,
19,Cardiac Arrest,Breathing difficulty,Unconsciousness,Chest pain,Absence of pulse
20,Epileptic Seizures,Jerking of limbs,Disorientation,,
21,Stroke,Slurred speech,Loss of arm mobility,,
22,Epileptic Seizures,Disorientation,Breathing difficulty,Jerking of limbs,Unconsciousness
23,Heatstroke,Clammy skin,Dizziness/light-headed,Excessive sweating,
24,Hyperventilation,Palpitation/rapid pulse,Disorientation,,
25,Stroke,Loss of arm mobility,Unconsciousness,Slurred speech,
26,Hyperventilation,Disorientation,,,
27,Concussion,Disorientation,Headache,,
28,Stroke,Slurred speech,,,
29,Hyperventilation,Dizziness/light-headed,Disorientation,Palpitation/rapid pulse,Breathing difficulty
30,Burn/Scalds,Red/peeling skin,,,
31,Burn/Scalds,Red/peeling skin,,,
32,Stroke,Loss of arm mobility,,,
33,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,,
34,Heatstroke,High body temperature,Excessive sweating,Dizziness/light-headed,
35,Sprains,Swelling of joint,Bruising of joint,,
36,Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,Disorientation,
37,Hyperventilation,Breathing difficulty,,,
38,Hyperventilation,Palpitation/rapid pulse,,,
39,Heatstroke,Dizziness/light-headed,High body temperature,Clammy skin,
40,Epileptic Seizures,Breathing difficulty,,,
41,Cardiac Arrest,Chest pain,,,
42,Epileptic Seizures,Breathing difficulty,Jerking of limbs,Disorientation,
43,Bone Fracture/Dislocation,Bruising of joint,Visible deformity of bone/joint,Swelling of joint,
