Condition,Symptom 1,Symptom 2,Symptom 3,Symptom 4
Hyperventilation,Dizziness/light-headed,Breathing difficulty,,
Cardiac Arrest,Breathing difficulty,Unconsciousness,Chest pain,
Stroke,Loss of arm mobility,Unconsciousness,Slurred speech,
Epileptic Seizures,Breathing difficulty,,,
Epileptic Seizures,Jerking of limbs,,,
Concussion,Unconsciousness,Disorientation,Bruising/swelling on head,Headache
Sprains,Bruising of joint,,,
Bone Fracture/Dislocation,Visible deformity of bone/joint,Bruising of joint,Swelling of joint,
Hyperventilation,Dizziness/light-headed,Palpitation/rapid pulse,,
Burn/Scalds,Red/peeling skin,,,
Bone Fracture/Dislocation,Swelling of joint,Visible deformity of bone/joint,Bruising of joint,
Concussion,Unconsciousness,,,
Heatstroke,Excessive sweating,Dizziness/light-headed,Clammy skin,High body temperature
Hyperventilation,Disorientation,,,
Heatstroke,Dizziness/light-headed,Clammy skin,Excessive sweating,
Epileptic Seizures,Breathing difficulty,Jerking of limbs,,
Epileptic Seizures,Jerking of limbs,Disorientation,,
Sprains,Swelling of joint,Bruising of joint,,
Stroke,Unconsciousness,Loss of arm mobility,,
Cardiac Arrest,Breathing difficulty,Unconsciousness,Chest pain,Absence of pulse
Epileptic Seizures,Jerking of limbs,Disorientation,,
Stroke,Slurred speech,Loss of arm mobility,,
Epileptic Seizures,Disorientation,Breathing difficulty,Jerking of limbs,Unconsciousness
Heatstroke,Clammy skin,Dizziness/light-headed,Excessive sweating,
Hyperventilation,Palpitation/rapid pulse,Disorientation,,
Stroke,Loss of arm mobility,Unconsciousness,Slurred speech,
Hyperventilation,Disorientation,,,
Concussion,Disorientation,Headache,,
Stroke,Slurred speech,,,
Hyperventilation,Dizziness/light-headed,Disorientation,Palpitation/rapid pulse,Breathing difficulty
Burn/Scalds,Red/peeling skin,,,
Burn/Scalds,Red/peeling skin,,,
Stroke,Loss of arm mobility,,,
Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,,
Heatstroke,High body temperature,Excessive sweating,Dizziness/light-headed,
Sprains,Swelling of joint,Bruising of joint,,
Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,Disorientation,
Hyperventilation,Breathing difficulty,,,
Hyperventilation,Palpitation/rapid pulse,,,
Heatstroke,Dizziness/light-headed,High body temperature,Clammy skin,
Epileptic Seizures,Breathing difficulty,,,
Cardiac Arrest,Chest pain,,,
Epileptic Seizures,Breathing difficulty,Jerking of limbs,Disorientation,
Bone Fracture/Dislocation,Bruising of joint,Visible deformity of bone/joint,Swelling of joint,
Sprains,Swelling of joint,Bruising of joint,,
Heatstroke,Clammy skin,High body temperature,Dizziness/light-headed,Excessive sweating
Stroke,Slurred speech,Loss of arm mobility,Unconsciousness,
Sprains,Bruising of joint,,,
Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
Hyperventilation,Dizziness/light-headed,Breathing difficulty,,
Hyperventilation,Breathing difficulty,,,
Cardiac Arrest,Chest pain,Breathing difficulty,Absence of pulse,
Sprains,Swelling of joint,,,
Stroke,Slurred speech,Lopsided facial expression,Unconsciousness,Loss of arm mobility
Heatstroke,Clammy skin,Excessive sweating,Dizziness/light-headed,
Bone Fracture/Dislocation,Swelling of joint,Bruising of joint,,
External Bleeding,Bleeding from an open wound,,,
Burn/Scalds,Charred/blistered skin,,,
Cardiac Arrest,Breathing difficulty,Absence of pulse,,
Concussion,Unconsciousness,Headache,Bruising/swelling on head,
Stroke,Unconsciousness,Slurred speech,,
Hyperventilation,Breathing difficulty,Dizziness/light-headed,Palpitation/rapid pulse,
External Bleeding,Bleeding from an open wound,,,
Concussion,Unconsciousness,Bruising/swelling on head,Headache,
Heatstroke,Clammy skin,High body temperature,,
Hyperventilation,Breathing difficulty,Disorientation,Dizziness/light-headed,
Concussion,Unconsciousness,Bruising/swelling on head,Headache,Disorientation
Concussion,Disorientation,Bruising/swelling on head,,
Epileptic Seizures,Breathing difficulty,,,
Burn/Scalds,Red/peeling skin,,,
External Bleeding,Bleeding from an open wound,,,
Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,Dizziness/light-headed,Disorientation
Stroke,Loss of arm mobility,,,
Cardiac Arrest,Unconsciousness,Breathing difficulty,,
Cardiac Arrest,Breathing difficulty,Absence of pulse,Unconsciousness,
Concussion,Headache,Unconsciousness,Disorientation,
Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
Cardiac Arrest,Chest pain,Unconsciousness,,
Epileptic Seizures,Unconsciousness,Breathing difficulty,,
Epileptic Seizures,Breathing difficulty,Jerking of limbs,,
Bone Fracture/Dislocation,Swelling of joint,Visible deformity of bone/joint,,
